timestamp_utc,open,high,low,close,volume,turnover,EMA5,EMA10,EMA20,EMA50,EMA100,SMA20,BB_upper,BB_mid,BB_lower,RSI14,MACD,MACD_signal,MACD_hist,STOCH_K,STOCH_D,ATR14,OBV,liquidity,liquidity_ma,support,resistance,buy_signal,sell_signal,signal,signal_reason
2026-09-10 20:35:00+00:00,0.0843,0.0843,0.0843,0.0843,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0843,0.0843,False,False,0,
2026-09-10 20:36:00+00:00,0.0843,0.0843,0.08428,0.08428,2492.7,210.127532,,,,,,,,,,,-1.5954415954477774e-06,-3.190883190895555e-07,-1.276353276358222e-06,,,,-2492.7,210.127532,105.063766,0.08428,0.0843,False,False,0,
2026-09-10 20:37:00+00:00,0.08428,0.08434,0.08428,0.08434,17620.3,1485.478866,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,1485.478866,1485.478866,0.08428,0.08434,False,False,0,
2026-09-10 20:38:00+00:00,0.08434,0.08434,0.08429,0.08429,422.2,35.59005,,,,,,,,,,,-3.988603988605566e-06,-7.977207977211132e-07,-3.1908831908844528e-06,,,,-422.2,35.59005,760.534458,0.08428,0.08434,False,False,0,
2026-09-10 20:39:00+00:00,0.08429,0.08429,0.08428,0.08428,11179.6,942.216688,,,,,,,,,,,-7.865845244758862e-06,-2.211345687128663e-06,-5.654499557630199e-06,,,,-11601.8,942.216688,821.0952013333332,0.08428,0.08434,False,False,0,
2026-09-10 20:40:00+00:00,0.08428,0.08428,0.08428,0.08428,0.0,0.0,,,,,,,,,,,-1.0813930613612356e-05,-3.931862672425402e-06,-6.882067941186953e-06,,,,-11601.8,0.0,615.8214009999999,0.08428,0.08434,False,False,0,
2026-09-10 20:41:00+00:00,0.08428,0.08428,0.08427,0.08427,5932.9,499.965483,0.0842895061728395,,,,,,,,,,-1.3798169228945724e-05,-5.905123983729466e-06,-7.893045245216255e-06,,,,-17534.7,499.965483,592.6502174,0.08427,0.08434,False,False,0,
2026-09-10 20:42:00+00:00,0.08427,0.08427,0.08426,0.08426,18804.0,1584.433463,0.084279670781893,,,,,,,,,,-1.677672462011004e-05,-8.079444111005582e-06,-8.697280509104458e-06,,,,-36338.7,1584.433463,757.947425,0.08426,0.08434,False,False,0,
2026-09-10 20:43:00+00:00,0.08426,0.08428,0.08426,0.08428,25975.3,2189.133218,0.084279780521262,,,,,,,,,,-1.732372129842341e-05,-9.928299548489148e-06,-7.395421749934263e-06,,,,-10363.399999999998,2189.133218,962.4025382857144,0.08426,0.08434,False,False,0,
2026-09-10 20:44:00+00:00,0.08428,0.08431,0.08428,0.08431,5348.0,450.81943,0.0842898536808413,,,,,,,,,,-1.5161696231030808e-05,-1.097497888499748e-05,-4.186717346033327e-06,,,,-5015.399999999998,450.81943,898.45464975,0.08426,0.08434,False,False,0,
2026-09-10 20:45:00+00:00,0.08431,0.08431,0.08427,0.08428,26941.4,2270.393201,0.0842865691205609,,,,,,,,,,-1.5688181477582774e-05,-1.191761940351454e-05,-3.770562074068234e-06,,,,-31956.8,2270.393201,1050.8922665555556,0.08426,0.08434,False,False,0,
2026-09-10 20:46:00+00:00,0.08428,0.08428,0.08428,0.08428,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.08428,0.08428,False,False,0,
2026-09-10 20:47:00+00:00,0.08428,0.08428,0.08415,0.08415,128300.4,10807.390558,,,,,,,,,,,-1.037037037036892e-05,-2.074074074073784e-06,-8.296296296295137e-06,,,,-128300.4,10807.390558,5403.695279,0.08415,0.08428,False,False,0,
2026-09-10 20:48:00+00:00,0.08415,0.08418,0.08414,0.08418,7367.8,620.118773,,,,,,,,,,,-1.598396116914147e-05,-4.8560514930873216e-06,-1.1127909676054148e-05,,,,-120932.6,620.118773,3809.169777,0.08414,0.08428,False,False,0,
2026-09-10 20:49:00+00:00,0.08418,0.08418,0.08418,0.08418,0.0,0.0,,,,,,,,,,,-2.0199920214680755e-05,-7.924825237406009e-06,-1.2275094977274746e-05,,,,-120932.6,0.0,2856.87733275,0.08414,0.08428,False,False,0,
2026-09-10 20:50:00+00:00,0.08418,0.08419,0.08416,0.08416,7329.6,616.896318,0.0841901234567901,,,,,,,,,,-2.486826510546269e-05,-1.1313513211017347e-05,-1.3554751894445347e-05,,,,-128262.2,616.896318,2408.8811298,0.08414,0.08428,False,False,0,
2026-09-10 20:51:00+00:00,0.08416,0.08416,0.08416,0.08416,0.0,0.0,0.0841800823045267,,,,,,,,,,-2.824240124375821e-05,-1.469929081756552e-05,-1.3543110426192688e-05,,,,-128262.2,0.0,2007.4009415,0.08414,0.08428,False,False,0,
2026-09-10 20:52:00+00:00,0.08416,0.08419,0.08416,0.08419,9167.5,771.704657,0.0841833882030178,,,,,,,,,,-2.8170942078686867e-05,-1.739362106978979e-05,-1.0777321008897078e-05,,,,-119094.7,771.704657,1830.872900857143,0.08414,0.08428,False,False,0,
2026-09-10 20:53:00+00:00,0.08419,0.0842,0.08418,0.0842,4972.1,418.632425,0.0841889254686785,,,,,,,,,,-2.699619837867595e-05,-1.9314136531567022e-05,-7.682061847108928e-06,,,,-114122.6,418.632425,1654.3428413749998,0.08414,0.08428,False,False,0,
2026-09-10 20:54:00+00:00,0.0842,0.0842,0.08419,0.08419,1134.8,95.54517,0.0841892836457857,,,,,,,,,,-2.65658869512686e-05,-2.0764486615507342e-05,-5.80140033576126e-06,,,,-115257.4,95.54517,1481.1431001111112,0.08414,0.08428,False,False,0,
2026-09-10 20:55:00+00:00,0.08419,0.08419,0.08418,0.08418,89.1,7.500438,0.0841861890971904,0.0841972899360726,,,,,,,,,-2.672372401579804e-05,-2.195633409556548e-05,-4.767389920232553e-06,,,,-115346.5,7.500438,1333.7788339,0.08414,0.08428,False,False,0,
2026-09-10 20:56:00+00:00,0.08418,0.0842,0.08418,0.08418,3734.2,314.345406,0.0841841260647936,0.0841941463113321,,,,,,,,,-2.6542841670168515e-05,-2.2873635610486088e-05,-3.669206059682428e-06,,,,-115346.5,314.345406,1241.103067727273,0.08414,0.08428,False,False,0,
2026-09-10 20:57:00+00:00,0.08418,0.08418,0.08418,0.08418,0.0,0.0,0.0841827507098624,0.0841915742547263,,,,,,,,,-2.6098642206554e-05,-2.351863692969967e-05,-2.580005276854331e-06,,,,-115346.5,0.0,1137.6778120833333,0.08414,0.08428,False,False,0,
2026-09-10 20:58:00+00:00,0.08418,0.0842,0.08417,0.08417,15070.8,1268.64135,0.0841785004732416,0.0841876516629578,,,,,,,,,-2.6250923057510867e-05,-2.406509415526192e-05,-2.185828902248953e-06,,,,-130417.3,1268.64135,1147.7519303846152,0.08414,0.08428,False,False,0,
2026-09-10 20:59:00+00:00,0.08417,0.0842,0.08417,0.08418,5431.2,457.276319,0.0841790003154944,0.084186260451511,,,,,,,,,-2.527335480047299e-05,-2.430674628430413e-05,-9.666085161688613e-07,28.571428571429987,28.571428571429987,1.4672163501320345e-05,-124986.1,457.276319,1098.4322438571428,0.08414,0.08428,False,False,0,
2026-09-10 21:00:00+00:00,0.08418,0.08426,0.08418,0.08426,3962.1,333.593443,0.0842060002103296,0.0841996676421453,,,,,,,,14.603786785878428,-1.7837671923315312e-05,-2.3012931412106367e-05,5.175259488791054e-06,57.14285714285997,42.85714285714498,1.933843753694009e-05,-121024.0,333.593443,1047.4429904666663,0.08414,0.08428,False,False,0,
