timestamp_ms,open,high,low,close,volume,turnover
1788853380000,4390.4,4392.5,4390.0,4392.4,1.1002,4830.719673
1788853440000,4392.4,4393.2,4392.2,4393.1,1.15532,5074.651145
1788853500000,4393.1,4393.8,4392.4,4393.8,0.54997,2415.891301
1788853560000,4393.8,4394.1,4392.8,4392.9,0.64752,2845.160742
1788853620000,4392.9,4393.9,4392.7,4393.2,0.5835,2563.528822
1788853680000,4393.2,4393.3,4392.5,4392.9,0.58413,2566.115071
1788853740000,4392.9,4393.0,4391.1,4391.1,0.63549,2791.066437
1788853800000,4391.1,4391.2,4389.6,4389.7,0.64179,2817.608416
1788853860000,4389.7,4389.7,4389.3,4389.3,1.4683,6445.126242
1788853920000,4389.3,4389.8,4389.1,4389.8,0.6239,2738.585375
1788853980000,4389.8,4390.2,4389.7,4389.7,0.57982,2545.317041
1788854040000,4389.7,4389.7,4388.8,4388.9,1.09821,4820.217797
1788854100000,4388.9,4391.3,4388.8,4391.2,0.71421,3134.964466
1788854160000,4391.2,4391.3,4390.4,4390.5,0.6313,2771.750117
1788854220000,4390.5,4390.5,4388.5,4388.6,0.70365,3088.33358
1788854280000,4388.6,4389.5,4388.5,4389.5,3.62364,15903.874396
1788854340000,4389.5,4390.1,4389.4,4389.8,1.24574,5468.550297
1788854400000,4389.8,4390.6,4389.1,4389.7,1.69499,7440.160746
1788854460000,4389.7,4389.7,4388.4,4388.7,0.55622,2441.178627
1788854520000,4388.7,4389.0,4387.7,4388.0,10.72068,47049.848313
1788854580000,4388.0,4389.4,4387.9,4388.9,0.64543,2832.332333
1788854640000,4388.9,4389.5,4387.8,4389.2,0.76149,3341.803331
1788854700000,4389.2,4390.5,4389.1,4390.5,0.60806,2669.135326
1788854760000,4390.5,4392.5,4390.4,4392.5,0.79189,3477.602797
1788854820000,4392.5,4393.4,4391.3,4391.4,0.79706,3501.108714
1788854880000,4391.4,4391.9,4388.1,4388.6,0.84414,3705.421137
1788854940000,4388.6,4388.7,4386.9,4387.0,0.5897,2587.528053
1788855000000,4387.0,4387.6,4386.9,4387.6,0.51664,2266.634336
1788855060000,4387.6,4388.3,4387.6,4388.0,0.59749,2621.822882
1788855120000,4388.0,4390.2,4387.9,4390.2,3.34839,14698.544166
1788855180000,4390.2,4390.2,4388.3,4388.3,2.48391,10904.190043
1788855240000,4388.3,4388.4,4387.8,4388.1,0.45939,2015.844293
1788855300000,4388.1,4389.4,4388.1,4389.3,2.89351,12697.595662
1788855360000,4389.3,4390.0,4388.9,4388.9,0.4519,1983.619921
1788855420000,4388.9,4389.7,4388.2,4389.7,0.42395,1860.545823
1788855480000,4389.7,4390.3,4388.7,4389.0,14.06688,61751.969364
1788855540000,4389.0,4390.9,4389.0,4390.8,1.59588,7006.353096
1788855600000,4390.8,4390.9,4389.2,4389.2,0.47137,2069.419878
1788855660000,4389.2,4389.3,4387.6,4388.1,0.43899,1926.562739
1788855720000,4388.1,4389.2,4388.1,4389.2,0.8455,3710.553611
1788855780000,4389.2,4389.2,4389.0,4389.1,0.42175,1851.098429
1788855840000,4389.1,4391.3,4389.0,4391.2,3.05265,13401.283372
1788855900000,4391.2,4392.9,4391.2,4392.9,0.42234,1854.963396
1788855960000,4392.9,4393.0,4392.0,4392.5,0.42604,1871.408232
1788856020000,4392.5,4393.0,4392.3,4392.8,0.45171,1984.232479
1788856080000,4392.8,4392.8,4392.0,4392.5,1.16833,5131.414017
1788856140000,4392.5,4392.5,4391.4,4391.4,0.85993,3776.668701
1788856200000,4391.4,4391.7,4390.3,4391.0,1.57287,6906.508387
1788856260000,4391.0,4392.5,4390.2,4392.4,0.93012,4084.55043
1788856320000,4392.4,4393.2,4392.1,4393.2,0.79122,3475.492786
1788856380000,4393.2,4394.4,4392.6,4393.9,0.73784,3241.670176
1788856440000,4393.9,4395.1,4393.8,4395.1,1.45351,6387.217352
1788856500000,4395.1,4395.5,4393.4,4393.5,0.71221,3129.585548
1788856560000,4393.5,4393.5,4392.3,4392.8,1.32535,5822.334135
1788856620000,4392.8,4393.4,4391.7,4392.4,1.19345,5242.558537
1788856680000,4392.4,4393.4,4392.3,4393.4,1.1465,5036.101699
1788856740000,4393.4,4393.4,4393.1,4393.2,0.66292,2912.320421
1788856800000,4393.2,4393.2,4391.8,4391.9,0.6934,3045.636894
1788856860000,4391.9,4391.9,4391.4,4391.5,0.81085,3561.063591
1788856920000,4391.5,4392.0,4391.4,4391.5,0.9722,4269.564867
1788856980000,4391.5,4391.7,4390.5,4390.5,1.98736,8726.798612
