timestamp_ms,open,high,low,close,volume,turnover
1789005960000,78051.6,78085.1,78044.4,78055.9,3.154895,246287.4422049
1789006020000,78055.9,78082.0,78055.9,78070.8,0.780088,60901.2012133
1789006080000,78070.8,78082.8,78031.7,78031.7,2.317975,180947.5002944
1789006140000,78031.7,78041.7,78024.8,78038.5,1.306455,101946.1158582
1789006200000,78038.5,78039.7,78008.7,78028.8,2.674741,208687.6680006
1789006260000,78028.8,78056.0,78020.4,78056.0,2.724203,212576.5901986
1789006320000,78056.0,78065.0,78009.5,78009.5,3.593635,280448.1312454
1789006380000,78009.5,78036.0,77997.4,78036.0,2.329232,181698.7631463
1789006440000,78036.0,78038.1,78022.3,78038.0,2.395325,186904.7178158
1789006500000,78038.0,78053.3,78019.1,78041.9,3.31104,258376.9832765
1789006560000,78041.9,78041.9,77994.5,77994.5,2.738177,213642.0999009
1789006620000,77994.5,78005.7,77980.1,78000.8,2.460395,191885.895889
1789006680000,78000.8,78037.1,78000.8,78017.4,4.791615,373860.3628647
1789006740000,78017.4,78044.5,78017.4,78044.5,1.199582,93599.6518574
1789006800000,78044.5,78065.2,78032.9,78032.9,1.874488,146312.6995315
1789006860000,78032.9,78045.7,78008.7,78021.1,2.981515,232649.6547432
1789006920000,78021.1,78039.1,78011.3,78039.1,1.57293,122721.5517496
1789006980000,78039.1,78043.2,78026.0,78027.6,3.557132,277579.0595709
1789007040000,78027.6,78031.9,77990.0,77990.0,9.422647,735064.5482084
1789007100000,77990.0,78003.8,77980.1,77999.0,3.625342,282757.903516
1789007160000,77999.0,78003.2,77976.8,77981.3,5.510356,429768.3200422
1789007220000,77981.3,77988.4,77972.3,77988.4,1.316657,102670.363662
1789007280000,77988.4,78001.1,77988.4,78001.1,0.531259,41434.0430526
1789007340000,78001.1,78016.2,78001.1,78016.1,0.675996,52735.3950079
1789007400000,78016.1,78033.5,78004.3,78033.5,1.833703,143049.260475
1789007460000,78033.5,78070.0,78033.4,78053.5,2.212091,172675.2647748
1789007520000,78053.5,78099.9,78053.4,78099.9,3.586617,280053.6109148
1789007580000,78099.9,78125.8,78099.9,78115.4,5.658806,442060.360249
1789007640000,78115.4,78157.1,78107.7,78157.1,2.594464,202685.0575126
1789007700000,78157.1,78169.5,78148.5,78148.5,3.051702,238513.64465
1789007760000,78148.5,78152.0,78132.4,78138.3,4.149255,324230.669558
1789007820000,78138.3,78171.2,78138.3,78171.2,1.118673,87429.0950225
1789007880000,78171.2,78224.5,78170.3,78224.4,2.82796,221097.9696102
1789007940000,78224.4,78224.5,78188.1,78188.1,2.460463,192440.8239777
1789008000000,78188.1,78206.5,78176.8,78206.5,3.288501,257124.7933455
1789008060000,78206.5,78221.8,78206.5,78221.8,0.370513,28979.4491485
1789008120000,78221.8,78263.9,78213.7,78236.8,5.332208,417201.986293
1789008180000,78236.8,78266.7,78236.8,78266.7,0.931092,72863.0859392
1789008240000,78266.7,78266.7,78257.9,78260.1,1.447067,113251.698266
1789008300000,78260.1,78271.4,78258.4,78258.4,1.080986,84604.6655298
1789008360000,78258.4,78264.1,78255.7,78264.1,1.160899,90849.9514074
1789008420000,78264.1,78280.1,78264.0,78280.1,0.862664,67525.6691312
1789008480000,78280.1,78293.3,78280.1,78293.3,0.908475,71118.4918903
1789008540000,78293.3,78317.1,78293.3,78317.0,2.101296,164552.942254
1789008600000,78317.0,78317.1,78287.2,78287.2,2.933365,229700.425295
1789008660000,78287.2,78312.6,78285.7,78312.6,1.518325,118875.4800195
1789008720000,78312.6,78347.0,78312.6,78320.3,4.057471,317831.3949494
1789008780000,78320.3,78364.4,78320.3,78353.6,6.666473,522229.6216109
1789008840000,78353.6,78361.6,78323.3,78361.6,3.58487,280826.8207078
1789008900000,78361.6,78373.1,78352.4,78362.5,2.510308,196708.8160177
1789008960000,78362.5,78365.6,78347.3,78347.3,1.88557,147751.1566362
1789009020000,78347.3,78347.7,78326.2,78347.6,4.14339,324595.1972556
1789009080000,78347.6,78347.7,78335.7,78343.4,1.650545,129308.7347147
1789009140000,78343.4,78354.3,78339.4,78354.2,1.395499,109328.6646009
1789009200000,78354.2,78363.6,78348.6,78348.6,5.87653,460470.3237201
1789009260000,78348.6,78359.5,78340.7,78350.6,3.554929,278531.5086035
1789009320000,78350.6,78454.2,78350.6,78454.2,12.257834,961085.65107314
1789009380000,78454.2,78504.4,78439.1,78450.8,12.115942,950804.9165502
1789009440000,78450.8,78544.9,78450.8,78509.7,5.687091,446400.70283586
1789009500000,78509.7,78509.7,78461.2,78471.3,5.090324,399454.5717877
1789009560000,78471.3,78471.3,78405.5,78415.5,1.861875,146041.299197
1789009620000,78415.5,78429.1,78415.4,78424.8,1.625095,127443.5009281
1789009680000,78424.8,78442.9,78414.7,78414.8,3.335565,261613.1502453
1789009740000,78414.8,78430.7,78412.0,78412.0,1.695289,132947.6849538
1789009800000,78412.0,78415.4,78401.3,78415.3,1.536181,120448.1982177
1789009860000,78415.3,78426.5,78405.0,78405.0,1.733858,135967.9152081
1789009920000,78405.0,78405.0,78400.1,78400.2,0.273605,21451.2830838
1789009980000,78400.2,78400.2,78395.8,78395.8,1.130783,88651.5661124
1789010040000,78395.8,78395.9,78374.0,78381.8,2.108766,165287.5980747
1789010100000,78381.8,78381.8,78350.1,78363.9,3.908952,306307.8878907
1789010160000,78363.9,78364.0,78353.2,78353.2,0.928012,72717.2761261
1789010220000,78353.2,78360.6,78337.7,78360.5,3.288953,257670.2129646
1789010280000,78360.5,78386.6,78360.5,78385.8,2.386226,187028.7772185
1789010340000,78385.8,78385.8,78358.9,78360.9,1.460334,114448.7649528
1789010400000,78360.9,78373.8,78360.9,78373.8,0.539586,42285.1253526
1789010460000,78373.8,78379.6,78365.8,78379.6,0.698098,54711.005641
1789010520000,78379.6,78389.0,78351.0,78354.9,3.498892,274200.4114481
1789010580000,78354.9,78354.9,78315.8,78323.7,2.650077,207592.5980762
1789010640000,78323.7,78327.8,78323.6,78327.8,0.526848,41265.8290055
1789010700000,78327.8,78334.5,78327.8,78329.2,0.72599,56868.4799577
1789010760000,78329.2,78329.2,78304.0,78308.9,2.740729,214635.5408194
1789010820000,78308.9,78309.6,78305.8,78309.6,0.397535,31129.8248344
1789010880000,78309.6,78395.1,78304.5,78395.1,11.16818,874914.0354602
1789010940000,78395.1,78396.8,78383.0,78394.0,2.1452,168167.8481094
1789011000000,78394.0,78394.1,78366.0,78366.1,1.773446,139004.7561428
1789011060000,78366.1,78368.6,78361.1,78361.1,0.738512,57873.3060238
1789011120000,78361.1,78404.9,78361.1,78404.8,1.398021,109576.2419447
1789011180000,78404.8,78442.0,78386.1,78438.0,4.975698,390123.2391934
1789011240000,78438.0,78453.2,78392.8,78392.8,8.649243,678383.5916536
1789011300000,78392.8,78392.8,78340.9,78340.9,2.185881,171291.894603
1789011360000,78340.9,78348.5,78329.0,78348.5,1.234046,96669.8227477
1789011420000,78348.5,78376.7,78348.5,78376.7,1.588648,124492.4906049
1789011480000,78376.7,78376.9,78349.5,78358.6,2.1034,164827.7518199
