timestamp_ms,open,high,low,close,volume,turnover
1789005960000,0.08542,0.08549,0.08542,0.08549,1707.5,145.974175
1789006020000,0.08549,0.08561,0.08549,0.08561,122026.9,10444.445739
1789006080000,0.08561,0.08561,0.0854,0.0854,7088.6,605.791287
1789006140000,0.0854,0.08549,0.0854,0.08549,682.1,58.309217
1789006200000,0.08549,0.08549,0.08544,0.08549,5599.9,478.705999
1789006260000,0.08549,0.0855,0.08543,0.08545,96466.0,8246.990844
1789006320000,0.08545,0.08548,0.08545,0.08548,5941.3,507.862324
1789006380000,0.08548,0.08554,0.08547,0.08554,42223.2,3611.251624
1789006440000,0.08554,0.08556,0.08552,0.08556,15168.9,1297.50334
1789006500000,0.08556,0.0856,0.08553,0.08559,8173.2,699.192871
1789006560000,0.08559,0.08559,0.08548,0.08548,146.1,12.488628
1789006620000,0.08548,0.08548,0.08539,0.08544,11998.3,1024.952454
1789006680000,0.08544,0.08553,0.08532,0.0854,297372.2,25409.154172
1789006740000,0.0854,0.08544,0.0854,0.08542,12998.2,1110.433004
1789006800000,0.08542,0.08549,0.08542,0.08549,6392.3,546.241379
1789006860000,0.08549,0.08549,0.0854,0.08541,33567.4,2867.240859
1789006920000,0.08541,0.08541,0.08529,0.08537,53457.1,4560.965353
1789006980000,0.08537,0.08542,0.08537,0.08542,154320.1,13178.909291
1789007040000,0.08542,0.08542,0.08531,0.08533,38364.8,3274.722812
1789007100000,0.08533,0.08538,0.08533,0.08537,6906.9,589.676314
1789007160000,0.08537,0.08537,0.08531,0.08531,70417.0,6008.818228
1789007220000,0.08531,0.08536,0.08531,0.08536,3675.0,313.698
1789007280000,0.08536,0.08538,0.08536,0.08538,75904.6,6480.624176
1789007340000,0.08538,0.08542,0.08538,0.08542,28024.3,2393.640851
1789007400000,0.08542,0.08547,0.0854,0.08547,22530.7,1924.770378
1789007460000,0.08547,0.08557,0.08547,0.08555,7022.1,600.795988
1789007520000,0.08555,0.08566,0.08555,0.08566,86744.7,7429.021703
1789007580000,0.08566,0.08574,0.08565,0.08569,48154.4,4126.772328
1789007640000,0.08569,0.0857,0.08568,0.0857,8428.5,722.256852
1789007700000,0.0857,0.08576,0.0857,0.08576,26553.5,2277.018797
1789007760000,0.08576,0.08576,0.08573,0.08574,2529.6,216.888084
1789007820000,0.08574,0.08578,0.08574,0.08578,1701.3,145.895849
1789007880000,0.08578,0.08588,0.08578,0.08588,41307.1,3546.744056
1789007940000,0.08588,0.0859,0.08579,0.0858,103769.7,8910.609551
1789008000000,0.0858,0.08585,0.0858,0.08585,53598.0,4599.936764
1789008060000,0.08585,0.08588,0.08585,0.08586,54125.8,4647.687292
1789008120000,0.08586,0.08591,0.0858,0.08585,97907.9,8407.065467
1789008180000,0.08585,0.0859,0.08585,0.08589,27061.8,2324.151884
1789008240000,0.08589,0.0859,0.08586,0.08589,5795.7,497.773192
1789008300000,0.08589,0.08591,0.08589,0.08589,4424.1,380.022334
1789008360000,0.08589,0.08589,0.08584,0.08585,89222.9,7658.930024
1789008420000,0.08585,0.08589,0.08585,0.08588,15473.2,1328.863709
1789008480000,0.08588,0.0859,0.08584,0.0859,34923.0,2999.105941
1789008540000,0.0859,0.08592,0.0859,0.08592,1697.8,145.857686
1789008600000,0.08592,0.08594,0.08592,0.08592,17582.8,1510.871924
1789008660000,0.08592,0.08595,0.08592,0.08595,15729.1,1351.620486
1789008720000,0.08595,0.08599,0.08593,0.08599,86586.5,7442.944061
1789008780000,0.08599,0.086,0.08598,0.086,14878.0,1279.341844
