timestamp_utc,open,high,low,close,volume,turnover,EMA5,EMA10,EMA20,EMA50,EMA100
2026-09-08 07:43:00+00:00,4390.4,4392.5,4390.0,4392.4,1.1002,4830.719673,,,,,
2026-09-08 07:44:00+00:00,4392.4,4393.2,4392.2,4393.1,1.15532,5074.651145,,,,,
2026-09-08 07:45:00+00:00,4393.1,4393.8,4392.4,4393.8,0.54997,2415.891301,,,,,
2026-09-08 07:46:00+00:00,4393.8,4394.1,4392.8,4392.9,0.64752,2845.160742,,,,,
2026-09-08 07:47:00+00:00,4392.9,4393.9,4392.7,4393.2,0.5835,2563.528822,4393.054320987655,,,,
2026-09-08 07:48:00+00:00,4393.2,4393.3,4392.5,4392.9,0.58413,2566.115071,4393.002880658437,,,,
2026-09-08 07:49:00+00:00,4392.9,4393.0,4391.1,4391.1,0.63549,2791.066437,4392.368587105625,,,,
2026-09-08 07:50:00+00:00,4391.1,4391.2,4389.6,4389.7,0.64179,2817.608416,4391.479058070417,,,,
2026-09-08 07:51:00+00:00,4389.7,4389.7,4389.3,4389.3,1.4683,6445.126242,4390.752705380278,,,,
2026-09-08 07:52:00+00:00,4389.3,4389.8,4389.1,4389.8,0.6239,2738.585375,4390.435136920186,4391.2174073524,,,
2026-09-08 07:53:00+00:00,4389.8,4390.2,4389.7,4389.7,0.57982,2545.317041,4390.190091280124,4390.9415151065095,,,
2026-09-08 07:54:00+00:00,4389.7,4389.7,4388.8,4388.9,1.09821,4820.217797,4389.760060853416,4390.570330541689,,,
2026-09-08 07:55:00+00:00,4388.9,4391.3,4388.8,4391.2,0.71421,3134.964466,4390.240040568944,4390.6848158977455,,,
2026-09-08 07:56:00+00:00,4391.2,4391.3,4390.4,4390.5,0.6313,2771.750117,4390.32669371263,4390.651213007246,,,
2026-09-08 07:57:00+00:00,4390.5,4390.5,4388.5,4388.6,0.70365,3088.33358,4389.751129141754,4390.278265187746,,,
2026-09-08 07:58:00+00:00,4388.6,4389.5,4388.5,4389.5,3.62364,15903.874396,4389.667419427837,4390.136762426338,,,
2026-09-08 07:59:00+00:00,4389.5,4390.1,4389.4,4389.8,1.24574,5468.550297,4389.711612951892,4390.075532894276,,,
2026-09-08 08:00:00+00:00,4389.8,4390.6,4389.1,4389.7,1.69499,7440.160746,4389.707741967928,4390.0072541862255,,,
2026-09-08 08:01:00+00:00,4389.7,4389.7,4388.4,4388.7,0.55622,2441.178627,4389.371827978619,4389.769571606911,,,
2026-09-08 08:02:00+00:00,4388.7,4389.0,4387.7,4388.0,10.72068,47049.848313,4388.914551985747,4389.447831314745,4390.226983489683,,
2026-09-08 08:03:00+00:00,4388.0,4389.4,4387.9,4388.9,0.64543,2832.332333,4388.9097013238315,4389.348225621155,4390.1006041097135,,
2026-09-08 08:04:00+00:00,4388.9,4389.5,4387.8,4389.2,0.76149,3341.803331,4389.006467549221,4389.321275508217,4390.01483228974,,
2026-09-08 08:05:00+00:00,4389.2,4390.5,4389.1,4390.5,0.60806,2669.135326,4389.504311699481,4389.535589052177,4390.061038738337,,
2026-09-08 08:06:00+00:00,4390.5,4392.5,4390.4,4392.5,0.79189,3477.602797,4390.502874466321,4390.074572860872,4390.293320763257,,
2026-09-08 08:07:00+00:00,4392.5,4393.4,4391.3,4391.4,0.79706,3501.108714,4390.801916310881,4390.31555961344,4390.398718785804,,
2026-09-08 08:08:00+00:00,4391.4,4391.9,4388.1,4388.6,0.84414,3705.421137,4390.067944207254,4390.003639683724,4390.227412234774,,
2026-09-08 08:09:00+00:00,4388.6,4388.7,4386.9,4387.0,0.5897,2587.528053,4389.04529613817,4389.457523377592,4389.920039640986,,
2026-09-08 08:10:00+00:00,4387.0,4387.6,4386.9,4387.6,0.51664,2266.634336,4388.56353075878,4389.119791854393,4389.699083484702,,
2026-09-08 08:11:00+00:00,4387.6,4388.3,4387.6,4388.0,0.59749,2621.822882,4388.37568717252,4388.916193335413,4389.537266009968,,
2026-09-08 08:12:00+00:00,4388.0,4390.2,4387.9,4390.2,3.34839,14698.544166,4388.983791448347,4389.149612728974,4389.600383532828,,
2026-09-08 08:13:00+00:00,4390.2,4390.2,4388.3,4388.3,2.48391,10904.190043,4388.755860965565,4388.995137687341,4389.476537482083,,
2026-09-08 08:14:00+00:00,4388.3,4388.4,4387.8,4388.1,0.45939,2015.844293,4388.537240643711,4388.832385380551,4389.345438674265,,
2026-09-08 08:15:00+00:00,4388.1,4389.4,4388.1,4389.3,2.89351,12697.595662,4388.791493762474,4388.917406220451,4389.341111181478,,
2026-09-08 08:16:00+00:00,4389.3,4390.0,4388.9,4388.9,0.4519,1983.619921,4388.827662508316,4388.914241453096,4389.299100592765,,
2026-09-08 08:17:00+00:00,4388.9,4389.7,4388.2,4389.7,0.42395,1860.545823,4389.118441672211,4389.057106643442,4389.337281488692,,
2026-09-08 08:18:00+00:00,4389.7,4390.3,4388.7,4389.0,14.06688,61751.969364,4389.0789611148075,4389.046723617362,4389.3051594421495,,
2026-09-08 08:19:00+00:00,4389.0,4390.9,4389.0,4390.8,1.59588,7006.353096,4389.652640743205,4389.365501141478,4389.4475252095635,,
2026-09-08 08:20:00+00:00,4390.8,4390.9,4389.2,4389.2,0.47137,2069.419878,4389.50176049547,4389.335410024845,4389.423951380081,,
2026-09-08 08:21:00+00:00,4389.2,4389.3,4387.6,4388.1,0.43899,1926.562739,4389.034506996981,4389.110790020328,4389.297860772454,,
2026-09-08 08:22:00+00:00,4388.1,4389.2,4388.1,4389.2,0.8455,3710.553611,4389.089671331321,4389.127010016631,4389.288540698887,,
2026-09-08 08:23:00+00:00,4389.2,4389.2,4389.0,4389.1,0.42175,1851.098429,4389.093114220881,4389.122099104517,4389.270584441851,,
2026-09-08 08:24:00+00:00,4389.1,4391.3,4389.0,4391.2,3.05265,13401.283372,4389.795409480587,4389.499899267332,4389.454338304531,,
2026-09-08 08:25:00+00:00,4391.2,4392.9,4391.2,4392.9,0.42234,1854.963396,4390.830272987058,4390.1180994005435,4389.782496561243,,
2026-09-08 08:26:00+00:00,4392.9,4393.0,4392.0,4392.5,0.42604,1871.408232,4391.3868486580395,4390.551172236808,4390.041306412553,,
2026-09-08 08:27:00+00:00,4392.5,4393.0,4392.3,4392.8,0.45171,1984.232479,4391.85789910536,4390.960050011934,4390.304039135167,,
2026-09-08 08:28:00+00:00,4392.8,4392.8,4392.0,4392.5,1.16833,5131.414017,4392.071932736907,4391.240040918855,4390.513178265151,,
2026-09-08 08:29:00+00:00,4392.5,4392.5,4391.4,4391.4,0.85993,3776.668701,4391.8479551579385,4391.269124388154,4390.597637477994,,
2026-09-08 08:30:00+00:00,4391.4,4391.7,4390.3,4391.0,1.57287,6906.508387,4391.565303438626,4391.220192681216,4390.635957718185,,
2026-09-08 08:31:00+00:00,4391.0,4392.5,4390.2,4392.4,0.93012,4084.55043,4391.8435356257505,4391.434703102813,4390.803961745024,,
2026-09-08 08:32:00+00:00,4392.4,4393.2,4392.1,4393.2,0.79122,3475.492786,4392.295690417167,4391.755666175029,4391.0321558645455,4390.72127822168,
