timestamp_utc,open,high,low,close,volume,turnover,EMA5,EMA10,EMA20,EMA50,EMA100
2026-09-08 07:43:00+00:00,78507.3,78507.3,78462.6,78465.4,14.709622,1154416.3339283,,,,,
2026-09-08 07:44:00+00:00,78465.4,78465.4,78434.5,78434.5,4.51099,353862.6169715,,,,,
2026-09-08 07:45:00+00:00,78434.5,78434.5,78369.7,78369.8,14.993326,1175353.7326498,,,,,
2026-09-08 07:46:00+00:00,78369.8,78369.8,78350.0,78350.1,8.945902,700997.8547019,,,,,
2026-09-08 07:47:00+00:00,78350.1,78354.6,78303.3,78311.1,8.853041,693464.0634763,78371.12962962964,,,,
2026-09-08 07:48:00+00:00,78311.1,78333.3,78294.4,78296.1,9.202016,720647.8421422,78346.11975308643,,,,
2026-09-08 07:49:00+00:00,78296.1,78296.2,78278.0,78281.6,4.13616,323794.0460602,78324.61316872429,,,,
2026-09-08 07:50:00+00:00,78281.6,78281.6,78211.7,78224.1,13.785942,1078617.88849171,78291.10877914954,,,,
2026-09-08 07:51:00+00:00,78224.1,78251.5,78201.7,78221.9,9.136414,714670.8758767,78268.03918609969,,,,
2026-09-08 07:52:00+00:00,78221.9,78280.6,78171.0,78280.6,15.862702,1240607.72329947,78272.22612406647,78312.14063025056,,,
2026-09-08 07:53:00+00:00,78280.6,78339.2,78273.0,78326.1,7.433155,582058.0738628,78290.18408271098,78314.67869747774,,,
2026-09-08 07:54:00+00:00,78326.1,78370.4,78305.0,78329.6,7.029271,550657.1430275,78303.32272180733,78317.39166157269,,,
2026-09-08 07:55:00+00:00,78329.6,78435.9,78329.6,78435.9,4.713595,369486.7344244,78347.51514787156,78338.93863219583,,,
2026-09-08 07:56:00+00:00,78435.9,78449.0,78399.1,78414.2,7.584833,594819.5942665,78369.74343191436,78352.62251725113,,,
2026-09-08 07:57:00+00:00,78414.2,78430.9,78390.3,78430.8,3.397597,266397.7074004,78390.09562127624,78366.83660502365,,,
2026-09-08 07:58:00+00:00,78430.8,78471.7,78430.8,78471.6,3.939766,309099.5741379,78417.2637475175,78385.88449501935,,,
2026-09-08 07:59:00+00:00,78471.6,78478.7,78458.0,78478.7,2.699229,211801.5271581,78437.742498345,78402.76004137946,,,
2026-09-08 08:00:00+00:00,78478.7,78480.0,78381.2,78388.4,9.491388,744310.6550578,78421.29499889667,78400.14912476501,,,
2026-09-08 08:01:00+00:00,78388.4,78388.4,78310.4,78310.4,7.421413,581545.1934446,78384.32999926445,78383.83110208045,,,
2026-09-08 08:02:00+00:00,78310.4,78343.8,78286.9,78343.8,5.776759,452376.5653743,78370.81999950964,78376.552719884,78381.06079375968,,
2026-09-08 08:03:00+00:00,78343.8,78358.2,78328.1,78358.2,3.577804,280295.6187072,78366.61333300643,78373.21586172326,78378.88357530638,,
2026-09-08 08:04:00+00:00,78358.2,78367.2,78344.0,78352.4,2.83295,221984.7898519,78361.87555533762,78369.43115959175,78376.3613300391,,
2026-09-08 08:05:00+00:00,78352.4,78387.6,78351.6,78382.2,2.439787,191200.292818,78368.65037022509,78371.7527669387,78376.9173938449,,
2026-09-08 08:06:00+00:00,78382.2,78406.8,78371.1,78406.8,3.51538,275579.704487,78381.36691348339,78378.12499113167,78379.76335633585,,
2026-09-08 08:07:00+00:00,78406.8,78442.7,78397.8,78413.6,5.567274,436597.0540842,78392.1112756556,78384.57499274409,78382.98589382767,,
2026-09-08 08:08:00+00:00,78413.6,78413.7,78340.1,78372.7,5.056093,396222.4441744,78385.64085043706,78382.41590315425,78382.0062848917,,
2026-09-08 08:09:00+00:00,78372.7,78372.7,78334.6,78345.7,1.956578,153303.7592975,78372.3272336247,78375.74028439893,78378.54854347344,,
