time,best_bid,best_ask,spread,rel_spread,mid_price,ob_imbalance,buy_volume,sell_volume,trade_count,large_trade_count,vwap,trade_imbalance
2026-09-12 02:57:00+00:00,77246.8,77246.9,0.09999999999126885,1.2945511692874058e-06,77246.85,-0.006314079762303306,0.103978,0.403874,54,8,77248.04108224444,-0.590518497515024
2026-09-12 02:58:00+00:00,77235.4,77235.5,0.10000000000582077,1.2947422460258957e-06,77235.45,-0.24511009732076225,0.000486,0.998777,89,26,77242.72772763527,-0.9990272831076503
2026-09-12 02:59:00+00:00,77289.1,77289.2,0.09999999999126885,1.2938426673248296e-06,77289.15,0.035760874882818774,5.657682,1.629875,442,140,77272.63639883709,0.5526964660447938
2026-09-12 03:00:00+00:00,77257.5,77257.6,0.10000000000582077,1.294371876998698e-06,77257.55,-0.4141103096883543,0.003376,1.416116,139,16,77271.33263787327,-0.9952433687544557
2026-09-12 03:01:00+00:00,77249.1,77249.2,0.09999999999126885,1.294512625592241e-06,77249.15,-0.35545100403206903,0.000343,0.60942,68,12,77255.19356799283,-0.9988749727353087
2026-09-12 03:02:00+00:00,77249.1,77249.2,0.09999999999126885,1.294512625592241e-06,77249.15,-0.17389447897095153,0.111707,0.024724,24,1,77249.18187801892,0.6375603785063513
2026-09-12 03:03:00+00:00,77289.5,77289.6,0.10000000000582077,1.2938359714323704e-06,77289.55,0.34477684013785614,1.8949770000000001,0.04911,259,47,77265.7449868756,0.9494775696766657
2026-09-12 03:04:00+00:00,77316.3,77316.4,0.09999999999126885,1.293387491665978e-06,77316.35,-0.08129916261507432,1.207182,0.032952999999999996,140,25,77302.70531006705,0.9468557858620231
2026-09-12 03:05:00+00:00,77322.2,77322.3,0.10000000000582077,1.2932888011642286e-06,77322.25,0.18640645866647418,0.256893,0.011961,37,4,77318.64420205762,0.9110223392622018
2026-09-12 08:26:00+00:00,77297.4,77297.5,0.10000000000582077,1.2937037380381989e-06,77297.45,0.0653542586420939,0.0037849999999999997,0.423614,79,10,77300.97109422342,-0.9822882131216967
2026-09-12 08:27:00+00:00,77298.7,77298.8,0.10000000000582077,1.2936819807024146e-06,77298.75,0.48237061289688965,0.307487,0.095633,77,8,77296.50978343918,0.5255358205993252
2026-09-12 08:28:00+00:00,77302.1,77302.2,0.09999999999126885,1.2936250801726583e-06,77302.15,0.31709049355378394,0.223823,0.06297799999999999,66,11,77299.63487993418,0.5608244043779486
2026-09-12 08:29:00+00:00,77302.1,77302.2,0.09999999999126885,1.2936250801726583e-06,77302.15,0.3342887562657717,0.11288300000000001,0.016050000000000002,35,3,77302.18755167414,0.751033482506418
2026-09-12 08:30:00+00:00,77312.5,77312.6,0.10000000000582077,1.293451063324399e-06,77312.55,0.16717868383155005,0.72183,0.025187,125,20,77305.97979015202,0.9325664610042342
2026-09-12 08:31:00+00:00,77311.2,77311.3,0.10000000000582077,1.2934728128936056e-06,77311.25,0.2225110614018664,0.002771,0.595725,75,13,77312.0364034179,-0.9907401219055767
2026-09-12 08:32:00+00:00,77311.2,77311.3,0.10000000000582077,1.2934728128936056e-06,77311.25,0.19669748272874457,0.018612,0.023559,35,0,77311.24413459486,-0.11730810272462118
2026-09-12 08:33:00+00:00,77307.4,77307.5,0.10000000000582077,1.2935363927515495e-06,77307.45,0.1702179974642908,0.139477,0.532399,78,14,77309.57733688955,-0.5848132691151344
2026-09-12 08:34:00+00:00,77307.4,77307.5,0.10000000000582077,1.2935363927515495e-06,77307.45,0.1860645474346956,0.099915,0.058843,38,5,77307.46293541112,0.2587082225777599
2026-09-12 08:35:00+00:00,77307.4,77307.5,0.10000000000582077,1.2935363927515495e-06,77307.45,0.2754549537214524,0.001103,0.01744,14,0,77307.40594833628,-0.8810332740117565
2026-09-12 08:36:00+00:00,77314.2,77314.3,0.10000000000582077,1.293422622683668e-06,77314.25,0.07847506390985615,0.777823,0.069855,109,19,77310.24839585314,0.8351850584773935
2026-09-12 08:37:00+00:00,77342.1,77342.2,0.09999999999126885,1.2929560400282235e-06,77342.15,-0.2708196137049114,1.158673,0.404556,166,41,77331.785028745,0.4824098068805018
2026-09-12 08:38:00+00:00,77345.5,77345.6,0.10000000000582077,1.2928992037139921e-06,77345.55,-0.13127170589835005,1.107143,0.537396,130,31,77341.37120925683,0.34644784951892293
2026-09-12 08:39:00+00:00,77345.5,77345.6,0.10000000000582077,1.2928992037139921e-06,77345.55,-0.24735491584638236,0.001356,0.026012,15,1,77345.50495469161,-0.9009061677871968
2026-09-12 08:40:00+00:00,77342.3,77342.4,0.09999999999126885,1.292952696566226e-06,77342.35,-0.23732454547516255,0.003982,0.983829,67,8,77345.36845712388,-0.9919377289785191
2026-09-12 08:41:00+00:00,77342.3,77342.4,0.09999999999126885,1.292952696566226e-06,77342.35,-0.19894789419142628,0.000873,0.07657,20,3,77342.30112728072,-0.977454385806335
2026-09-12 08:42:00+00:00,77343.1,77343.2,0.09999999999126885,1.2929393228911526e-06,77343.15,-0.07349763528182476,0.551775,0.080303,73,14,77342.55961099737,0.7459079417413673
2026-09-12 08:43:00+00:00,77344.1,77345.7,1.5999999999912689,2.0686561104756345e-05,77344.9,0.12187293743614094,0.513901,0.031683,47,11,77343.26076992726,0.8838565647086425
2026-09-12 08:44:00+00:00,77348.7,77348.8,0.10000000000582077,1.2928457150997367e-06,77348.75,0.11238875730690827,0.012927000000000001,0.032806,20,2,77348.728266241,-0.4346751798482496
2026-09-12 08:45:00+00:00,77354.1,77354.2,0.09999999999126885,1.29275546291012e-06,77354.15,-0.097114382780968,0.361221,0.319236,112,15,77349.38993926141,0.061701180236223584
2026-09-12 08:46:00+00:00,77354.1,77354.2,0.09999999999126885,1.29275546291012e-06,77354.15,-0.06521582012247575,0.006899,0.08290700000000001,19,2,77354.1076821148,-0.8463577043850077
2026-09-12 08:47:00+00:00,77354.1,77354.2,0.09999999999126885,1.29275546291012e-06,77354.15,-0.055716825788924014,0.06837499999999999,0.015908000000000002,27,3,77354.18112549388,0.6225098774367309
2026-09-12 08:48:00+00:00,77354.1,77354.2,0.09999999999126885,1.29275546291012e-06,77354.15,0.021987997323529594,0.012457000000000001,0.012687,13,2,77354.14954263443,-0.009147311485841525
2026-09-12 08:49:00+00:00,77363.0,77363.1,0.10000000000582077,1.292606741924223e-06,77363.05,-0.047995503020847756,1.085304,0.007615,111,20,77359.92906802791,0.9860648410357951
2026-09-12 08:50:00+00:00,77363.0,77363.1,0.10000000000582077,1.292606741924223e-06,77363.05,-0.009410663115021685,0.008271,0.032455,23,2,77363.0203088936,-0.593822128370083
